UF;MUNICÍPIO;CARGO;NOME DO CANDIDATO;NOME NA URNA;DS_SIT_TOT_TURNO
RJ;MARICÁ;VEREADOR;ALDAIR NUNES ELIAS;ALDAIR DE LINDA;ELEITO POR QP
CE;BATURITÉ;VEREADOR;MARIA RANIELE JARDIM LIMA;RANIELE;ELEITO POR QP
RJ;MARICÁ;VEREADOR;ADRIANA LUIZA DA COSTA;ADRIANA COSTA;ELEITO POR QP
TO;NOVA ROSALÂNDIA;VEREADOR;ERIVANDO RIBEIRO MAGALÃES;ERIVANDO;ELEITO POR QP
TO;RIO DA CONCEIÇÃO;VEREADOR;JOEL OLIVEIRA DE SOUSA;JOEL DO POVÃO;ELEITO POR QP
TO;RIO DA CONCEIÇÃO;VEREADOR;THAYNE DOS SANTOS BRITO;THAYNE BRITO;ELEITO POR QP
RN;CEARÁ-MIRIM;VEREADOR;HERIBERTO RIBEIRO PEREIRA;IRMÃO HERIBERTO;ELEITO POR QP
TO;SANDOLÂNDIA;VEREADOR;OSEIAS PEREIRA LIMA;ZEINHA LIMA;ELEITO POR QP
RN;CEARÁ-MIRIM;VEREADOR;CARLOS MAGNUS RIBEIRO FILHO;CARLOS FILHO;ELEITO POR QP
GO;LUZIÂNIA;VEREADOR;ANTONIO COSTA DO NASCIMENTO;CARLOS DA LIGA;ELEITO POR QP
SP;LOUVEIRA;VEREADOR;CLAUDENILDO GOMES DA CRUZ;NILDO REDENÇÃO;ELEITO POR QP
SP;MIRASSOL;VEREADOR;LUIZ FERNANDO NOGUEIRA;NANDO NOGUEIRA;ELEITO POR QP
